SpeciesCat_ISSCAAP_code,Species_AFSIS,CommName,Family,Order
33,Scarus spp,,Scaridae,PERCOIDEI
33,Polynemus spp,,Polynemidae,PERCOIDEI
31,Pseudorhombus spp,,Paralichthyidae,PLEURONECTIFORMES
33,Pentapodus spp,,Nemipteridae,PERCOIDEI
38,Myliobatis spp,,Myliobatidae,RAJIFORMES
38,Aetomylaeus spp,,Myliobatidae,RAJIFORMES
38,Aetobatus spp,,Myliobatidae,RAJIFORMES
33,Parupeneus spp,,Mullidae,PERCOIDEI
33,Valamugil spp,,Mugilidae,MUGILIFORMES
33,Lethrinus spp,,Lethrinidae,PERCOIDEI
33,Secutor spp,,Leiognathidae,PERCOIDEI
33,Gazza spp,Toothponies nei,Leiognathidae,PERCOIDEI
33,Thalassoma spp,,Labridae,PERCOIDEI
38,Chiloscyllium spp,Bamboosharks nei,Hemiscylliidae,ORECTOLOBIFORMES
33,Pomadasys spp,,Haemulidae,PERCOIDEI
37,Cypselurus spp,,Exocoetidae,BELONIFORMES
11,Hypsibarbus spp,,Cyprinidae,CYPRINIFORMES
11,Botia spp,,Cobitidae,CYPRINIFORMES
37,Carangoides spp,,Carangidae,PERCOIDEI
37,Alepes spp,,Carangidae,PERCOIDEI
33,Pterocaesio spp,,Caesionidae,PERCOIDEI
11,Homaloptera spp,,Balitoridae,CYPRINIFORMES
41,Caridina spp,Caridina shrimps nei,Atyidae,NATANTIA
33,Arius spp,,Ariidae,SILURIFORMES
13,Mystus spp,,Bagridae,SILURIFORMES
77,Stylasteridae,Hydrocorals,Stylasteridae,HYDROZOA
77,Hydrozoa,Hydrozoans,,HYDROZOA
82,Pennatulacea,Sea pens,,ANTHOZOA
82,Alcyonacea,Soft corals,,ANTHOZOA
34,Synaphobranchidae,Cutthroat eels nei,Synaphobranchidae,ANGUILLIFORMES
13,Lepisosteidae,Gars nei,Lepisosteidae,LEPISOSTEIFORMES
33,Plectorhinchus spp,"Sweetlips, rubberlips nei",Haemulidae,PERCOIDEI
13,Chirostoma spp,,Atherinidae,ATHERINIFORMES
58,Chiton spp,Chitons nei,Chitonidae,POLYPLACOPHORA
24,Dorosoma spp,Gizzard shad nei,Clupeidae,CLUPEIFORMES
13,Atractosteus spp,,Lepisosteidae,LEPISOSTEIFORMES
35,Brevoortia spp,Menhadens nei,Clupeidae,CLUPEIFORMES
33,Paralabrax spp,,Serranidae,PERCOIDEI
34,Harpagiferidae,Spiny plunderfishes nei,Harpagiferidae,PERCOIDEI
34,Cetomimidae,,Cetomimidae,CETOMIMIFORMES
34,Melanocetidae,Black seadevils nei,Melanocetidae,LOPHIIFORMES
34,Oneirodidae,Dreamers nei,Oneirodidae,LOPHIIFORMES
34,Alepocephalidae,,Alepocephalidae,SALMONIFORMES
34,Gonostoma spp,,Gonostomatidae,STOMIIFORMES
34,Bathylagidae,Deep-sea smelts nei,Bathylagidae,SALMONIFORMES
34,Zoarcidae,Eelpouts nei,Zoarcidae,ZOARCOIDEI
34,Bathydraconidae,Dragonfishes nei,Bathydraconidae,PERCOIDEI
34,Liparidae,Snailfishes nei,Liparidae,SCORPAENIFORMES
57,Gonatidae,Gonate squids nei,Gonatidae,CEPHALOPODA
,Pagodroma spp,Snow petrels nei,Procellariidae,PROCELLARIIFORMES
,Fregetta spp,B/W bellied storm petrels nei,Hydrobatidae,PROCELLARIIFORMES
34,Pseudopentaceros spp,Pelagic armourheads nei,Pentacerotidae,PERCOIDEI
24,Clupeonella spp,Black-Caspian Sea sprats nei,Clupeidae,CLUPEIFORMES
33,Haemulon spp,Grunts nei,Haemulidae,PERCOIDEI
33,Eucinostomus spp,,Gerreidae,PERCOIDEI
33,Diapterus spp,,Gerreidae,PERCOIDEI
83,Spongia spp,,Spongiidae,DEMOSPONGIAE
83,Hippospongia spp,,Spongiidae,DEMOSPONGIAE
33,Pristipomoides spp,Jobfishes nei,Lutjanidae,PERCOIDEI
34,Pagetopsis spp,,Channichthyidae,PERCOIDEI
34,Lycenchelys spp,,Zoarcidae,ZOARCOIDEI
34,Ariomma spp,Ariommatids nei,Ariommatidae,"STROMATEOIDEI, ANABANTOIDEI"
38,Carcharhinus spp,Carcharhinus sharks nei,Carcharhinidae,CARCHARHINIFORMES
38,Centrophorus spp,Gulper sharks nei,Squalidae,SQUALIFORMES
